Date,Open,High,Low,Close,Adj Close,Volume
1990-11-06,34.294872,34.535255,33.974358,34.214745,15.184473,1538940
1990-11-07,34.054485,34.294872,33.253204,33.333332,14.793296,1950156
1990-11-08,33.092949,34.054485,32.852566,33.173077,14.722177,2398344
1990-11-09,33.333332,34.455128,33.333332,34.455128,15.291151,2450136
1990-11-12,34.935898,35.576923,34.775642,35.496796,15.753434,2772900
1990-11-13,35.416668,36.057693,35.256409,35.576923,15.788998,2979288
1990-11-14,35.416668,35.737179,35.176281,35.416668,15.717875,2141100
1990-11-15,35.416668,35.576923,35.096153,35.256409,15.646755,1773876
1990-11-16,35.416668,35.496796,35.176281,35.496796,15.753434,3272412
1990-11-19,35.416668,35.496796,34.935898,35.496796,15.753434,2455284
1990-11-20,35.416668,35.496796,33.974358,34.134617,15.148903,2942472
1990-11-21,33.974358,34.615383,33.573719,34.455128,15.291151,1997736
1990-11-23,34.294872,34.775642,34.294872,34.375000,15.255589,580164
1990-11-26,33.974358,34.294872,33.413464,34.214745,15.184473,1785732
1990-11-27,34.134617,34.775642,33.894230,34.294872,15.220027,2086500
1990-11-28,34.134617,34.375000,33.653847,33.733974,14.971101,1717092
1990-11-29,33.653847,34.455128,33.653847,34.054485,15.113341,2206308
1990-11-30,33.974358,35.336536,33.894230,35.096153,15.575636,4338360
1990-12-03,35.096153,35.576923,34.855770,34.855770,15.614400,2718768
1990-12-04,35.096153,35.657051,34.855770,35.576923,15.937459,2405832
1990-12-05,35.336536,36.538464,35.256409,36.538464,16.368202,3246360
1990-12-06,37.339745,37.500000,36.698719,36.858974,16.511778,4454892
1990-12-07,36.778847,37.500000,36.458332,36.858974,16.511778,2518464
1990-12-10,36.618591,36.858974,36.538464,36.538464,16.368202,1796652
1990-12-11,36.618591,36.618591,36.057693,36.378204,16.296410,1677624
1990-12-12,36.217949,36.698719,35.897434,36.538464,16.368202,2736240
1990-12-13,36.298077,36.458332,35.977566,36.137821,16.188725,1605396
1990-12-14,35.897434,35.897434,35.096153,35.657051,15.973353,2031744
1990-12-17,35.416668,35.496796,35.096153,35.496796,15.901557,1673256
1990-12-18,35.496796,36.458332,35.416668,36.458332,16.332308,2322216
1990-12-19,36.217949,36.618591,36.137821,36.298077,16.260513,2057952
